measure_env	evolution_env	replicate	transfer	od600
bact	bact	A	4	0.126
bact	bact	B	4	0.16
bact	bact	C	4	0.14
bact	bact	D	4	0.166
bact	bact	E	4	0.162
bact	bact	F	4	0.148
bact	bact_strep	A	4	0.135
bact	bact_strep	B	4	0.143
bact	bact_strep	C	4	0.127
bact	bact_strep	D	4	0.142
bact	bact_strep	E	4	0.129
bact	bact_strep	F	4	0.114
bact	anc	A	4	0.119
bact	anc	B	4	0.119
bact	anc	C	4	0.106
bact	anc	D	4	0.114
bact	anc	E	4	0.119
bact	anc	F	4	0.11
bact_strep	bact	A	4	0.092
bact_strep	bact	B	4	0.096
bact_strep	bact	C	4	0.096
bact_strep	bact	D	4	0.093
bact_strep	bact	E	4	0.091
bact_strep	bact	F	4	0.096
bact_strep	bact_strep	A	4	0.111
bact_strep	bact_strep	B	4	0.101
bact_strep	bact_strep	C	4	0.101
bact_strep	bact_strep	D	4	0.1
bact_strep	bact_strep	E	4	0.102
bact_strep	bact_strep	F	4	0.097
bact_strep	anc	A	4	0.1
bact_strep	anc	B	4	0.1
bact_strep	anc	C	4	0.105
bact_strep	anc	D	4	0.101
bact_strep	anc	E	4	0.104
bact_strep	anc	F	4	0.103
bact	bact	A	8	0.075
bact	bact	B	8	0.108
bact	bact	C	8	0.106
bact	bact	D	8	0.102
bact	bact	E	8	0.117
bact	bact	F	8	0.104
bact	bact_strep	A	8	0.105
bact	bact_strep	B	8	0.108
bact	bact_strep	C	8	0.095
bact	bact_strep	D	8	0.105
bact	bact_strep	E	8	0.1
bact	bact_strep	F	8	0.103
bact	anc	A	8	0.101
bact	anc	B	8	0.099
bact	anc	C	8	0.093
bact	anc	D	8	0.096
bact	anc	E	8	0.096
bact	anc	F	8	0.093
bact_strep	bact	A	8	0.098
bact_strep	bact	B	8	0.092
bact_strep	bact	C	8	0.095
bact_strep	bact	D	8	0.095
bact_strep	bact	E	8	0.096
bact_strep	bact	F	8	0.091
bact_strep	bact_strep	A	8	0.112
bact_strep	bact_strep	B	8	0.102
bact_strep	bact_strep	C	8	0.095
bact_strep	bact_strep	D	8	0.035
bact_strep	bact_strep	E	8	0.099
bact_strep	bact_strep	F	8	0.094
bact_strep	anc	A	8	0.097
bact_strep	anc	B	8	0.096
bact_strep	anc	C	8	0.097
bact_strep	anc	D	8	0.093
bact_strep	anc	E	8	0.091
bact_strep	anc	F	8	0.096
bact	bact	A	12	0.122
bact	bact	B	12	0.115
bact	bact	C	12	0.114
bact	bact	D	12	0.125
bact	bact	E	12	0.125
bact	bact	F	12	0.122
bact	bact_strep	A	12	0.112
bact	bact_strep	B	12	0.107
bact	bact_strep	C	12	0.119
bact	bact_strep	D	12	0.119
bact	bact_strep	E	12	0.118
bact	bact_strep	F	12	0.11
bact	anc	A	12	0.104
bact	anc	B	12	0.112
bact	anc	C	12	0.112
bact	anc	D	12	0.11
bact	anc	E	12	0.114
bact	anc	F	12	0.101
bact_strep	bact	A	12	0.105
bact_strep	bact	B	12	0.109
bact_strep	bact	C	12	0.108
bact_strep	bact	D	12	0.114
bact_strep	bact	E	12	0.106
bact_strep	bact	F	12	0.1
bact_strep	bact_strep	A	12	0.123
bact_strep	bact_strep	B	12	0.11
bact_strep	bact_strep	C	12	0.107
bact_strep	bact_strep	D	12	0.112
bact_strep	bact_strep	E	12	0.11
bact_strep	bact_strep	F	12	0.099
bact_strep	anc	A	12	0.101
bact_strep	anc	B	12	0.103
bact_strep	anc	C	12	0.104
bact_strep	anc	D	12	0.104
bact_strep	anc	E	12	0.1
bact_strep	anc	F	12	0.099
